objective,context_level,holdout_session,workload,size,selected_platform,selected_value,oracle_value,regret_pct
edp,L1,5,CONV2D,1,3090,3.280252408391918e-05,3.280252408391918e-05,0.0
edp,L1,5,CONV2D,2,3090,2.804233023893946e-05,2.804233023893946e-05,0.0
edp,L1,5,CONV2D,3,3090,1.8578542447234646e-05,1.8578542447234646e-05,0.0
edp,L1,5,CONV2D,4,3090,3.0705684945067174e-05,3.0705684945067174e-05,0.0
edp,L1,5,CONV2D,5,3090,7.518618497470517e-05,7.518618497470517e-05,0.0
edp,L1,5,CONV2D,6,3090,0.00018751618168809183,0.00018751618168809183,0.0
edp,L1,5,GEMM,64,3090,4.393267157328785e-09,3.373158628874671e-09,30.241937622555113
edp,L1,5,GEMM,128,3090,4.738609875035385e-09,4.199609285424243e-09,12.834541334163486
edp,L1,5,GEMM,256,3090,1.4445281614905575e-08,1.4445281614905575e-08,0.0
edp,L1,5,GEMM,512,3090,1.6239211457100646e-07,1.6239211457100646e-07,0.0
edp,L1,5,GEMM,1024,3090,4.850644877261717e-06,4.850644877261717e-06,0.0
edp,L1,5,GEMM,2048,3090,0.0001866946736102065,0.0001866946736102065,0.0
edp,L1,5,GEMM,4096,3090,0.009535163917515412,0.009535163917515412,0.0
edp,L1,5,GEMM,8192,3090,0.5457316104552947,0.5457316104552947,0.0
edp,L1,5,GEMM,16384,3090,34.51393928132813,34.51393928132813,0.0
edp,L1,5,REDUCTION,1000000,3090,6.864058287847124e-09,2.516324764908057e-09,172.7810966045127
edp,L1,5,REDUCTION,2000000,3090,5.5342880213318335e-08,6.01403412785864e-09,820.2289018772786
edp,L1,5,REDUCTION,4000000,3090,1.6647125335808077e-07,1.252803750869959e-08,1228.7895509770108
edp,L1,5,REDUCTION,8000000,3090,5.713391462261987e-07,3.7549309793353085e-08,1421.5703014795126
edp,L1,5,REDUCTION,16000000,3090,2.0441188330470002e-06,2.0441188330470002e-06,0.0
edp,L1,5,REDUCTION,32000000,3090,7.727762971647691e-06,7.727762971647691e-06,0.0
edp,L1,5,REDUCTION,64000000,3090,3.0365754141664557e-05,3.0365754141664557e-05,0.0
edp,L1,5,REDUCTION,128000000,3090,0.0001196930279719105,0.0001196930279719105,0.0
edp,L1,5,REDUCTION,256000000,3090,0.0004739687275066725,0.0004739687275066725,0.0
edp,L1,5,STREAM,1000000,3090,8.214436896471797e-08,9.55494169609149e-09,759.7056013258525
edp,L1,5,STREAM,2000000,3090,3.4201815299950593e-07,3.078425931359429e-08,1011.0163460989012
edp,L1,5,STREAM,4000000,3090,1.2918091016478838e-06,9.957667861706143e-07,29.73008535620565
edp,L1,5,STREAM,8000000,3090,4.797014286435967e-06,4.797014286435967e-06,0.0
edp,L1,5,STREAM,16000000,3090,1.87059730028957e-05,1.87059730028957e-05,0.0
edp,L1,5,STREAM,32000000,3090,7.349120852002784e-05,7.349120852002784e-05,0.0
edp,L1,5,STREAM,64000000,3090,0.00029102039749997967,0.00029102039749997967,0.0
edp,L1,5,STREAM,128000000,3090,0.0011588737250750904,0.0011588737250750904,0.0
edp,L1,5,STREAM,256000000,3090,0.004638959814869499,0.004638959814869499,0.0
edp,L1,5,STRIDED_GEMM,64,3090,4.9288667817980846e-09,3.2460180902697464e-09,51.84347852443707
edp,L1,5,STRIDED_GEMM,128,3090,5.22616838839052e-09,4.1444304771370295e-09,26.101002712458452
edp,L1,5,STRIDED_GEMM,256,3090,1.5739236461990383e-08,1.5739236461990383e-08,0.0
edp,L1,5,STRIDED_GEMM,512,3090,1.5844725457458367e-07,1.5844725457458367e-07,0.0
edp,L1,5,STRIDED_GEMM,1024,3090,4.972230922411697e-06,4.972230922411697e-06,0.0
edp,L1,5,STRIDED_GEMM,2048,3090,0.00019624524503312522,0.00019624524503312522,0.0
edp,L1,5,STRIDED_GEMM,4096,3090,0.009977926523701811,0.009977926523701811,0.0
edp,L1,5,STRIDED_GEMM,8192,3090,0.5735141139461797,0.5735141139461797,0.0
edp,L1,5,STRIDED_GEMM,16384,3090,37.0002582333125,37.0002582333125,0.0
edp,L2,1,AXPY,1000000,5060ti,9.057179283401682e-09,9.057179283401682e-09,0.0
edp,L2,1,AXPY,2000000,5060ti,2.823988056301405e-08,2.823988056301405e-08,0.0
edp,L2,1,AXPY,4000000,5060ti,1.2696094060591431e-07,1.2696094060591431e-07,0.0
edp,L2,1,AXPY,8000000,5060ti,5.6431195210328964e-06,4.785134613149163e-06,17.930214659501132
edp,L2,1,AXPY,16000000,5060ti,2.2406273301795378e-05,1.8779461291658088e-05,19.312652018129683
edp,L2,1,AXPY,32000000,5060ti,9.007256996581244e-05,7.359157106888748e-05,22.395226324897234
