selection_objective,evaluation_objective,holdout_session,workload,size,selected_platform,selected_value,oracle_value,regret_pct
edp,edp,5,CONV2D,4,3090,3.0705684945067174e-05,3.0705684945067174e-05,0.0
edp,edp,5,CONV2D,5,3090,7.518618497470517e-05,7.518618497470517e-05,0.0
edp,edp,5,CONV2D,6,3090,0.00018751618168809183,0.00018751618168809183,0.0
edp,edp,5,GEMM,64,5060ti,3.373158628874671e-09,3.373158628874671e-09,0.0
edp,edp,5,GEMM,128,5060ti,4.199609285424243e-09,4.199609285424243e-09,0.0
edp,edp,5,GEMM,256,3090,1.4445281614905575e-08,1.4445281614905575e-08,0.0
edp,edp,5,GEMM,512,3090,1.6239211457100646e-07,1.6239211457100646e-07,0.0
edp,edp,5,GEMM,1024,3090,4.850644877261717e-06,4.850644877261717e-06,0.0
edp,edp,5,GEMM,2048,3090,0.0001866946736102065,0.0001866946736102065,0.0
edp,edp,5,GEMM,4096,3090,0.009535163917515412,0.009535163917515412,0.0
edp,edp,5,GEMM,8192,3090,0.5457316104552947,0.5457316104552947,0.0
edp,edp,5,GEMM,16384,3090,34.51393928132813,34.51393928132813,0.0
edp,edp,5,REDUCTION,1000000,5060ti,2.516324764908057e-09,2.516324764908057e-09,0.0
edp,edp,5,REDUCTION,2000000,5060ti,6.01403412785864e-09,6.01403412785864e-09,0.0
edp,edp,5,REDUCTION,4000000,5060ti,1.252803750869959e-08,1.252803750869959e-08,0.0
edp,edp,5,REDUCTION,8000000,5060ti,3.7549309793353085e-08,3.7549309793353085e-08,0.0
edp,edp,5,REDUCTION,16000000,3090,2.0441188330470002e-06,2.0441188330470002e-06,0.0
edp,edp,5,REDUCTION,32000000,3090,7.727762971647691e-06,7.727762971647691e-06,0.0
edp,edp,5,REDUCTION,64000000,3090,3.0365754141664557e-05,3.0365754141664557e-05,0.0
edp,edp,5,REDUCTION,128000000,3090,0.0001196930279719105,0.0001196930279719105,0.0
edp,edp,5,REDUCTION,256000000,3090,0.0004739687275066725,0.0004739687275066725,0.0
edp,edp,5,STREAM,1000000,5060ti,9.55494169609149e-09,9.55494169609149e-09,0.0
edp,edp,5,STREAM,2000000,5060ti,3.078425931359429e-08,3.078425931359429e-08,0.0
edp,edp,5,STREAM,4000000,5060ti,9.957667861706143e-07,9.957667861706143e-07,0.0
edp,edp,5,STREAM,8000000,3090,4.797014286435967e-06,4.797014286435967e-06,0.0
edp,edp,5,STREAM,16000000,3090,1.87059730028957e-05,1.87059730028957e-05,0.0
edp,edp,5,STREAM,32000000,3090,7.349120852002784e-05,7.349120852002784e-05,0.0
edp,edp,5,STREAM,64000000,3090,0.00029102039749997967,0.00029102039749997967,0.0
edp,edp,5,STREAM,128000000,3090,0.0011588737250750904,0.0011588737250750904,0.0
edp,edp,5,STREAM,256000000,3090,0.004638959814869499,0.004638959814869499,0.0
edp,edp,5,STRIDED_GEMM,64,5060ti,3.2460180902697464e-09,3.2460180902697464e-09,0.0
edp,edp,5,STRIDED_GEMM,128,5060ti,4.1444304771370295e-09,4.1444304771370295e-09,0.0
edp,edp,5,STRIDED_GEMM,256,3090,1.5739236461990383e-08,1.5739236461990383e-08,0.0
edp,edp,5,STRIDED_GEMM,512,3090,1.5844725457458367e-07,1.5844725457458367e-07,0.0
edp,edp,5,STRIDED_GEMM,1024,3090,4.972230922411697e-06,4.972230922411697e-06,0.0
edp,edp,5,STRIDED_GEMM,2048,3090,0.00019624524503312522,0.00019624524503312522,0.0
edp,edp,5,STRIDED_GEMM,4096,3090,0.009977926523701811,0.009977926523701811,0.0
edp,edp,5,STRIDED_GEMM,8192,3090,0.5735141139461797,0.5735141139461797,0.0
edp,edp,5,STRIDED_GEMM,16384,3090,37.0002582333125,37.0002582333125,0.0
edp,energy,1,AXPY,1000000,5060ti,0.0011061409972979,0.0011061409972979,0.0
edp,energy,1,AXPY,2000000,5060ti,0.0019707976901804,0.0019707976901804,0.0
edp,energy,1,AXPY,4000000,5060ti,0.0047706775918486,0.0047706775918486,0.0
edp,energy,1,AXPY,8000000,3090,0.0411490524357632,0.0232590303030303,76.91645739161406
edp,energy,1,AXPY,16000000,3090,0.0814728047937312,0.0461752302472127,76.44266061596778
edp,energy,1,AXPY,32000000,3090,0.1609741773308958,0.0928637245392822,73.34451975679941
edp,energy,1,AXPY,64000000,3090,0.3225813636363637,0.1854641472868217,73.93192611911627
edp,energy,1,AXPY,128000000,3090,0.6371283905967451,0.3707046332046332,71.86955153189115
edp,energy,1,AXPY,256000000,3090,1.2787228260869563,0.7298769230769231,75.19704838677154
edp,energy,1,CONV2D,1,3090,0.1058463661453541,0.1058463661453541,0.0
edp,energy,1,CONV2D,2,3090,0.0985547235023041,0.0925390215492137,6.500719212695749
edp,energy,1,CONV2D,3,3090,0.0796802145411203,0.0796802145411203,0.0
edp,energy,1,CONV2D,4,3090,0.1000926434676434,0.0861506518590053,16.183268852632303
edp,energy,1,CONV2D,5,3090,0.1590018841262364,0.1590018841262364,0.0
edp,energy,1,CONV2D,6,3090,0.2585901271503366,0.2177177615571776,18.7730965543778
edp,energy,1,GEMM,64,5060ti,0.0003295783996954,0.0003295783996954,0.0
edp,energy,1,GEMM,128,5060ti,0.0004074502386389,0.0004074502386389,0.0
edp,energy,1,GEMM,256,3090,0.0019802297612636,0.0012379650248886,59.95845774736597
edp,energy,1,GEMM,512,3090,0.007248085481284,0.007248085481284,0.0
edp,energy,1,GEMM,1024,3090,0.0400796513739256,0.0400796513739256,0.0
edp,energy,1,GEMM,2048,3090,0.2480520989505247,0.2480520989505247,0.0
edp,energy,1,GEMM,4096,3090,1.7094088397790057,1.7094088397790057,0.0
edp,energy,1,GEMM,8192,3090,13.157,13.157,0.0
edp,energy,1,GEMM,16384,3090,103.701,103.701,0.0
edp,energy,1,REDUCTION,1000000,5060ti,0.0004058325746143,0.0004058325746143,0.0
edp,energy,1,REDUCTION,2000000,5060ti,0.0007244346821188,0.0007244346821188,0.0
edp,energy,1,REDUCTION,4000000,5060ti,0.0010194523610633,0.0010194523610633,0.0
edp,energy,1,REDUCTION,8000000,5060ti,0.0018676395184281,0.0018676395184281,0.0
edp,energy,1,REDUCTION,16000000,3090,0.0266073982927016,0.0135197026022304,96.80461231678328
edp,energy,1,REDUCTION,32000000,3090,0.0515170336209461,0.0258104404065291,99.59765431942868
edp,energy,1,REDUCTION,64000000,3090,0.1034283625730994,0.0527866915422885,95.93643691467348
edp,energy,1,REDUCTION,128000000,3090,0.2040385507246376,0.1028810386473429,98.32473836509747
edp,energy,1,REDUCTION,256000000,3090,0.4064543879907621,0.2019988009592326,101.21623794826027
edp,energy,1,STREAM,1000000,5060ti,0.0011522025710308,0.0011522025710308,0.0
edp,energy,1,STREAM,2000000,5060ti,0.0021343406554041,0.0021343406554041,0.0
edp,energy,1,STREAM,4000000,5060ti,0.0104092301800076,0.0104092301800076,0.0
edp,energy,1,STREAM,8000000,3090,0.0414299685644428,0.0245104444984211,69.02985405716171
edp,energy,1,STREAM,16000000,3090,0.0816012178308823,0.0489721279689772,66.6278783772168
edp,energy,1,STREAM,32000000,3090,0.1615334699453552,0.0970882638215324,66.37795711568799
edp,energy,1,STREAM,64000000,3090,0.322758855585831,0.1977422480620155,63.22200174674257
edp,energy,1,STREAM,128000000,3090,0.6414566003616637,0.3917674418604651,63.73402478660539
edp,energy,1,STREAM,256000000,3090,1.2798429602888088,0.7899728682170541,62.01100212180417
