workload,size,platform,configuration,threads,runtime,energy,edp,power,runtime_cv,energy_cv
AXPY,32000000,3090,gpu_resident,-1,0.0004571387360603,0.1609741773308958,7.359209818081781e-05,352.1123385659202,0.0004205211214821,0.005410123210403
AXPY,32000000,5060ti,gpu_resident,-1,0.000969943542677,0.0926299709020368,8.992119720596287e-05,95.42232787373902,0.0004259087178584,0.0130291982811571
AXPY,32000000,AMD,1T,1,0.0130913849025974,0.9609959025974026,0.0125773082306138,73.42030949025275,0.0054545600850025,0.0059533543753265
AXPY,32000000,AMD,2T,2,0.0086711227974137,0.694864051724138,0.0060192612143818,80.21518227717502,0.0010207884553469,0.008396204805828
AXPY,32000000,AMD,4T,4,0.0072059067697841,0.7190430607142857,0.0051761553395474,99.894232692621,0.0006543543607931,0.044149567227098
AXPY,32000000,AMD,8T,8,0.007117924081081,0.7265261466666666,0.0051520169195709,102.43483667380508,0.0028302503777137,0.0858269347078041
AXPY,32000000,AMD,10T,10,0.0067739629620253,0.768145082278481,0.0052034416917501,113.40400857734645,0.0032588290064946,0.0724996924027767
AXPY,32000000,AMD,16T,16,0.0071551698633333,0.8687790469798659,0.0062165265915536,121.41960706491768,0.0007298000700077,0.0392472263021082
AXPY,32000000,AMD,20T,20,0.0074696579893617,0.913719102112676,0.006821423169146,122.37100047140392,0.0041874242680682,0.0295128676574927
AXPY,32000000,AMD,32T,32,0.007182893117647,1.0739851928104571,0.0077166021110465,149.6320266313685,0.0014826477627384,0.0051396846339009
AXPY,32000000,AMD,64T,64,0.0073595509597315,1.1382602414965983,0.0083796083117771,154.59858651064593,0.0102874838208638,0.0141297194439851
AXPY,32000000,INTEL,1T,1,0.0179444399821428,0.7995688571428572,0.0143462318421662,44.562946451074026,0.0005197096281906,0.0229131978832698
AXPY,32000000,INTEL,2T,2,0.0118402058823529,0.6578650294117647,0.0077986127113667,55.45103833284221,0.0028396926464476,0.0136066521123228
AXPY,32000000,INTEL,4T,4,0.0104065394639175,0.7070898385416666,0.0073637972842638,67.89652067533109,0.0029959399176491,0.0249358346528249
AXPY,32000000,INTEL,8T,8,0.0104491516875,0.9475782291666666,0.0098968859812265,90.7025407693964,0.0020344925327163,0.0194168829470275
AXPY,32000000,INTEL,10T,10,0.0108045909784946,1.097097564516129,0.011845727686201,101.60820021021324,0.0004224713743658,0.0127998348646686
AXPY,32000000,INTEL,16T,16,0.0107834595376344,1.037552010752688,0.0111916482234144,96.16654764839508,0.0071801021292453,0.0352336141746184
AXPY,32000000,INTEL,20T,20,0.0114982493563218,1.1811587931034482,0.0135849868527462,102.66774739404728,0.0004808239916837,0.0212617671998517
AXPY,64000000,3090,gpu_resident,-1,0.0009122411909753,0.3225813636363637,0.00029419141419,353.70408958061944,0.0004391066508455,0.0046710940868785
AXPY,64000000,5060ti,gpu_resident,-1,0.0019394992199612,0.1831434108527131,0.0003552845871292,94.40744171344323,0.0001883737090622,0.008161524378957
AXPY,64000000,AMD,1T,1,0.0260446745384615,1.9038977307692304,0.0494601959683501,72.88541594209522,0.0037523854522778,0.0102852403902743
AXPY,64000000,AMD,2T,2,0.0171673583305084,1.3801869576271186,0.0236851717051044,80.46454133934438,0.0019030897814431,0.0052252857406324
AXPY,64000000,AMD,4T,4,0.0143190379214285,1.3367994785714286,0.0191564232670707,93.31865801709878,0.0005865860318733,0.0350423544420936
AXPY,64000000,AMD,8T,8,0.0144754048785714,1.75740445,0.0254226875256825,121.4685905344661,0.0006947671006223,0.0566588395021801
AXPY,64000000,AMD,10T,10,0.0146045234347826,1.5587761811594203,0.0227646552550382,106.74520329955357,0.0007273984378236,0.0341705469332257
AXPY,64000000,AMD,16T,16,0.0146417468695652,1.7912472898550724,0.0262099518937299,122.41788423442328,0.0007854118991515,0.0380998847188115
AXPY,64000000,AMD,20T,20,0.0159791257936507,1.9563508492063493,0.0312114389239777,122.41489632572876,0.0008818516885521,0.0219170301699858
AXPY,64000000,AMD,32T,32,0.0148558624191176,2.220277970588235,0.0329849811893696,149.45087405952927,0.0016348793492823,0.0076487022443339
AXPY,64000000,AMD,64T,64,0.0151145738208955,2.3410227611940297,0.0353921146533985,154.95279108185264,0.0005656164758812,0.0065043661648927
AXPY,64000000,INTEL,1T,1,0.0364743977678571,1.5859683214285714,0.0578757224794352,43.47769559455804,0.0006903731487903,0.0165933270025352
AXPY,64000000,INTEL,2T,2,0.0243317107857142,1.3435845357142857,0.0326096456453322,55.33458350871264,0.0034189825164518,0.0243009124301733
AXPY,64000000,INTEL,4T,4,0.0211948979895833,1.4364059479166666,0.0304683608095089,67.64171138751294,0.0020764995788637,0.0147088456652489
AXPY,64000000,INTEL,8T,8,0.021377616393617,1.9775365957446809,0.0422750195148135,92.4251132143172,0.0016341492938489,0.0129416147062146
AXPY,64000000,INTEL,10T,10,0.0219365939456521,2.216380532608696,0.0486222306446325,101.0307961569076,0.0003422392651829,0.0141955920648433
AXPY,64000000,INTEL,16T,16,0.0220819367717391,2.109057119565217,0.0465629942952622,95.50651044144828,0.0008107168683989,0.0135588460960699
AXPY,64000000,INTEL,20T,20,0.0233100901704545,2.409547534883721,0.0561657063084025,103.37125218572874,0.0003966224194254,0.0304406414584356
AXPY,128000000,3090,gpu_resident,-1,0.0018178801125226,0.6394210526315789,0.0011621475679723,351.7795653931447,0.0001362204296706,0.0029261343887479
AXPY,128000000,5060ti,gpu_resident,-1,0.0038810802934362,0.368027027027027,0.0014276702824456,94.91868359010752,0.0002166946236511,0.0060759963928598
AXPY,128000000,AMD,1T,1,0.0520653388,3.7364206,0.1941837877663749,71.90205391981604,0.0032322042439833,0.0077091218034625
AXPY,128000000,AMD,2T,2,0.0341204419666666,2.7282957,0.0928314747824619,79.8392122068191,0.0015065117373684,0.0058152136116876
AXPY,128000000,AMD,4T,4,0.028491369,2.509045638888889,0.0714058219336824,88.23603309529813,0.0011460711501835,0.0132700611311345
AXPY,128000000,AMD,8T,8,0.0287828625142857,2.886547885714286,0.0830383031911307,100.34114949563303,0.000899606462106,0.0410554000262485
AXPY,128000000,AMD,10T,10,0.0290191777285714,3.0163976142857143,0.087500152070032,103.98098432722358,0.0005953476165202,0.0211821923937941
AXPY,128000000,AMD,16T,16,0.0291403669142857,3.4496202,0.1005530232066297,118.31022806629016,0.0005361032977897,0.056195544541721
AXPY,128000000,AMD,20T,20,0.031924009203125,3.87120278125,0.1236387008406268,121.20970970219112,0.0002895439650287,0.0346662600258995
AXPY,128000000,AMD,32T,32,0.0295813783970588,4.435619750000001,0.1312083599099187,149.95829579980654,9.768662964922844e-05,0.0032658189581614
AXPY,128000000,AMD,64T,64,0.0300158363529411,4.6590361323529415,0.139756148542527,155.1571850627947,0.000337764265694,0.0032739739829937
AXPY,128000000,INTEL,1T,1,0.0733036821785714,3.2723479285714285,0.239765895460189,44.6674719521762,0.0006963062262792,0.0443115381808189
AXPY,128000000,INTEL,2T,2,0.0491355350238095,2.710945071428571,0.1333432618283533,55.07615515782563,0.0019375107643339,0.0325401149821385
AXPY,128000000,INTEL,4T,4,0.0429622874166666,2.9245441875,0.1257187484753914,67.98334745100237,0.0029579417486223,0.0216599999449503
AXPY,128000000,INTEL,8T,8,0.0431929058541666,3.9874699375,0.1722543178661141,92.2157550686835,0.0012834840069085,0.013037644389903
AXPY,128000000,INTEL,10T,10,0.0439143605652173,4.4818425,0.1968415921188353,102.0460766434728,0.0001771159818485,0.0100651100379196
AXPY,128000000,INTEL,16T,16,0.044571998173913,4.268407086956522,0.1902498877368724,95.76509855499737,0.0004068041729493,0.0389283945289006
AXPY,128000000,INTEL,20T,20,0.0465912333181818,4.8209313181818185,0.2245914330728254,103.4829265616076,0.000291785899004,0.0297201655100656
AXPY,256000000,3090,gpu_resident,-1,0.003627064298913,1.2767771739130436,0.0046313360925629,351.9893685903122,0.0002293522486324,0.0034086582707515
AXPY,256000000,5060ti,gpu_resident,-1,0.0077655605271317,0.7406666666666666,0.0057521846931215,95.37406922398324,0.0001695642805384,0.0079153910957247
AXPY,256000000,AMD,1T,1,0.1035646594999999,7.42849615,0.7714769924342026,71.2182305550853,0.0035407963424202,0.0107571629923712
AXPY,256000000,AMD,2T,2,0.0676616499999999,5.4306853,0.3676506306042464,80.40710354401648,0.0016526608114367,0.0036795577651375
AXPY,256000000,AMD,4T,4,0.0566309795,5.031608638888889,0.2847972322395216,88.89973913507899,0.0008990323952697,0.0129928803456526
AXPY,256000000,AMD,8T,8,0.0571047852777777,5.721970416666666,0.326747131661558,100.20270211936015,0.0001795818904614,0.0112377703907847
AXPY,256000000,AMD,10T,10,0.0576936032777777,5.973833777777778,0.344598225921269,103.54216454082233,0.0004389205783584,0.0197388039983818
AXPY,256000000,AMD,16T,16,0.0579634262222222,6.836452,0.3964228434487938,117.93978625903738,0.0003444348120431,0.0522828107601051
AXPY,256000000,AMD,20T,20,0.063671450875,7.7105454375,0.4909444774584826,121.0982415635275,0.0006188839069746,0.0421124036528276
AXPY,256000000,AMD,32T,32,0.0589129512058823,8.826455911764707,0.5200563549187378,149.79256749284804,0.0002537435829718,0.0048792507041302
AXPY,256000000,AMD,64T,64,0.0597122620294117,9.288174647058824,0.5548229118483523,155.54879559407587,0.0002622690181229,0.003929339792494
AXPY,256000000,INTEL,1T,1,0.1462900028571429,6.505018714285715,0.952599992005285,44.41654131082651,0.0023356543682633,0.010206520813797
AXPY,256000000,INTEL,2T,2,0.0992485558636363,5.514698136363636,0.5441546479108327,55.84864849684456,0.0027678182360524,0.040677206031432
AXPY,256000000,INTEL,4T,4,0.0867769850833333,5.893778666666666,0.5112432328423568,67.95009908177596,0.0022932271743461,0.0141820615713611
AXPY,256000000,INTEL,8T,8,0.0867070756249999,8.001006958333333,0.693546254128897,92.05923468302404,0.0022103476093699,0.0169054542512515
AXPY,256000000,INTEL,10T,10,0.0879111910833333,9.046455125,0.7953921577270626,102.8905681763523,0.0009055852467097,0.0421264132600313
AXPY,256000000,INTEL,16T,16,0.08917067,8.655798041666667,0.7723672107667581,97.00417400940395,0.0004128215906371,0.0103738224305097
AXPY,256000000,INTEL,20T,20,0.092894765,9.671952909090908,0.8985025783468825,104.11476987380271,0.0003664947888273,0.0160143771016226
CONV2D,1,3090,gpu_resident,-1,0.0003114451813407,0.1065770775409329,3.318029078511065e-05,342.6201933508904,0.475456545754056,0.7470177609396319
CONV2D,1,5060ti,gpu_resident,-1,0.0007166533381088,0.1198900429799427,8.592193468997175e-05,167.28699681777482,0.1984787292737259,2.1971805364437147
CONV2D,1,AMD,1T,1,0.0580188854166666,4.513918666666667,0.2629295657354549,77.48862506815888,0.0095056394891562,0.7929449035265377
CONV2D,1,AMD,2T,2,0.0291960060857142,2.8118081,0.0820693290249946,96.10978708190312,0.2714227751129905,0.3511140955885328
CONV2D,1,AMD,4T,4,0.0143660886785714,1.9024574859154928,0.0272527302068629,132.16346908958172,0.7487323358266945,0.4238794563353523
CONV2D,1,AMD,8T,8,0.0071988618273381,1.436976713768116,0.0103512420215695,199.58041933818768,0.2184915049387348,0.0749456793473687
CONV2D,1,AMD,10T,10,0.0058883297836257,1.3504036666666668,0.0079477233642794,229.28844278433377,0.1426030725739322,0.0236920375556674
