workload,size,platform,runtime,runtime_cfg,energy,energy_cfg,edp,edp_cfg
REDUCTION,2000000,AMD,3.795804026645826e-05,10T,0.0045370924150823,8T,1.7334616973972586e-07,10T
REDUCTION,2000000,INTEL,2.5915628231644263e-05,10T,0.0038754635983361,20T,1.0546724504999729e-07,20T
REDUCTION,4000000,3090,2.284362476016446e-05,gpu_resident,0.0072513939033864,gpu_resident,1.6571425615141264e-07,gpu_resident
REDUCTION,4000000,5060ti,1.228461746965751e-05,gpu_resident,0.0010193909390201,gpu_resident,1.2522827737896893e-08,gpu_resident
REDUCTION,4000000,AMD,1.6054006703229737e-05,64T,0.003917191179159,64T,6.288661344805098e-08,64T
REDUCTION,4000000,INTEL,0.000109699770316,10T,0.0153404463244541,16T,1.773224080014702e-06,16T
REDUCTION,8000000,3090,4.117687697628459e-05,gpu_resident,0.0138155489687538,gpu_resident,5.687821407749438e-07,gpu_resident
REDUCTION,8000000,5060ti,2.0508436181337272e-05,gpu_resident,0.0018198622132004,gpu_resident,3.7322528058247615e-08,gpu_resident
REDUCTION,8000000,AMD,6.938635129632144e-05,20T,0.0123170325229489,16T,8.660626429124188e-07,20T
REDUCTION,8000000,INTEL,0.0004301337907375,16T,0.0468074038668098,4T,2.242530439553162e-05,16T
REDUCTION,16000000,3090,7.689482427341227e-05,gpu_resident,0.0265895533861173,gpu_resident,2.044118833047e-06,gpu_resident
REDUCTION,16000000,5060ti,0.0001578432249814,gpu_resident,0.0134059067972692,gpu_resident,2.1161634512469065e-06,gpu_resident
REDUCTION,16000000,AMD,9.750555344598444e-05,32T,0.022058575147232,16T,2.1808245355421906e-06,32T
REDUCTION,16000000,INTEL,0.0012906685971685,8T,0.1151314966532797,4T,0.0001545590251892,4T
REDUCTION,32000000,3090,0.0001487715977242,gpu_resident,0.0519617843866171,gpu_resident,7.727762971647691e-06,gpu_resident
REDUCTION,32000000,5060ti,0.0003079890601908,gpu_resident,0.0257298337438423,gpu_resident,7.924159228116046e-06,gpu_resident
REDUCTION,32000000,AMD,0.0005241095461658,32T,0.0899027944705268,32T,4.7118912808985e-05,32T
