platform,platform_label,device_kind,energy_domain,session_number,problem_size,configuration,num_threads,runtime_s,energy_j,total_energy_j,power_w,edp_j_s,throughput_gflops,efficiency_gflop_per_j,logical_bandwidth_gb_s,logical_gb_per_j,temperature_c,clock_mhz,working_set_bytes,operational_intensity_flop_per_byte
INTEL,Intel CPU,CPU,CPU package RAPL,1,2000000,8T,8,3.215614990390775e-05,0.0041174852338244,0.0041174852338244,128.01980677596924,1.3240247240598404e-07,62.196469601510096,0.4857331323426174,248.78612719204315,1.9429344723039703,81.0,2460.0,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,2,2000000,8T,8,3.253227848101266e-05,0.0044443979389808,0.0044443979389808,136.55856055053607,1.445863914313621e-07,61.477372424661006,0.4500044837251105,245.90973560825665,1.8000197349192768,92.0,2459.5,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,3,2000000,8T,8,3.308030926139168e-05,0.0048767708011186,0.0048767708011186,147.62667245476285,1.6132508629792813e-07,60.458896686743394,0.41010723726061804,241.83582858268122,1.6404305894722413,95.0,2459.5,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,4,2000000,8T,8,3.2926836791013274e-05,0.004776059592221,0.0047760600954514,145.05046524066685,1.5726053469721426e-07,60.740696493076435,0.41875503464351566,242.96302893521317,1.6750218135950385,99.0,2459.5,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,5,2000000,8T,8,3.272717167424069e-05,0.0046300725635073,0.0046300725635073,141.49432410153554,1.5152917965009505e-07,61.11126925074874,0.431958456928587,244.4453214481942,1.7278355555490394,99.0,2459.5,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,1,2000000,10T,10,2.554204487506374e-05,0.0037688949133095,0.0037688949133095,147.51140421014418,9.626528300515072e-08,78.30222716242132,0.5306592637903462,313.2092218587505,2.1226391777995013,85.0,2739.0,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,2,2000000,10T,10,2.5915628231644263e-05,0.0040000528955532,0.0040000528955532,154.31655663230373,1.0366388374806888e-07,77.1734716258162,0.4999931381465904,308.69419519730565,1.9999745525599142,92.0,2739.0,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,3,2000000,10T,10,2.590964290318422e-05,0.004245781719737,0.0042457838984143,163.6560048978524,1.1000668820325305e-07,77.19129929630199,0.4710555398321061,308.76550595055954,1.8842240435515256,97.0,2739.0,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,4,2000000,10T,10,2.6627518109237036e-05,0.0042670872944535,0.0042670872944535,159.9974750156797,1.1362194420675584e-07,75.110229642702,0.4687035586545568,300.4412190118768,1.8748161094333993,99.0,2739.0,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,5,2000000,10T,10,2.609960138603027e-05,0.0041927107834197,0.0041927107834197,160.64271654629528,1.0942808017416487e-07,76.62948450509644,0.4770181162767304,306.518244538477,1.9080743731803407,99.0,2600.0,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,1,2000000,16T,16,3.676314923189466e-05,0.0048130115947329,0.0048130124359912,130.9507840739817,1.769414635120049e-07,54.40227624092818,0.41554003364311254,217.60932257292652,1.662161796733416,81.5,3200.0,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,2,2000000,16T,16,3.7710322967853257e-05,0.0050328793840729,0.0050328793840729,133.53932622417014,1.8979150703163943e-07,53.03584914149184,0.39738663444413486,212.14360870946996,1.5895481273238719,85.0,3202.0,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,3,2000000,16T,16,3.721819597952674e-05,0.0053178605815592,0.0053178608597285,142.8168505361138,1.9792117731627032e-07,53.73712904032679,0.3760909052289594,214.94873110993078,1.5043651252802108,94.0,3200.0,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,4,2000000,16T,16,3.624453883495146e-05,0.0051035333737864,0.0051035333737864,140.4383143138071,1.84975213561672e-07,55.1806993353535,0.3918851614202664,220.72301806432168,1.567542213222495,92.0,3200.0,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,5,2000000,16T,16,2.382813095238095e-05,0.0036282996904761,0.0036282996904761,152.26091614381858,8.645560015914778e-08,83.93436329508489,0.5512221069416575,335.73778891796064,2.20489063265616,96.0,3199.5,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,1,2000000,20T,20,2.660613179238327e-05,0.0036005752070508,0.0036005752070508,135.19597547953268,9.579737848718127e-08,75.17060411512185,0.5554665254827942,300.6827171430542,2.2218683237983896,88.0,3600.0,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,2,2000000,20T,20,2.508923127967982e-05,0.0034190598884349,0.0034190640150965,136.276235257186,8.578158430001949e-08,79.71543558689389,0.5849558256540263,318.86206120947736,2.3398256424405774,89.0,3600.0,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,3,2000000,20T,20,3.3444122178917794e-05,0.0045863895888093,0.0045863914468715,137.19861124127954,1.5338777376825477e-07,59.80121078677141,0.43607263649820727,239.20508235204844,1.7442922902842473,91.0,3603.5,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,4,2000000,20T,20,2.821615066016796e-05,0.0039664279307109,0.0039664279307109,140.67704051035287,1.1191732807563699e-07,70.88135529497823,0.5042317760306669,283.5257047054759,2.0169291210507803,96.0,3599.0,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,5,2000000,20T,20,2.721409771343971e-05,0.0038754635983361,0.0038754635983361,142.40714546661872,1.0546724504999729e-07,73.49128459299602,0.5160670328212305,293.9654323372695,2.0642701955540854,96.0,3599.5,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,1,4000000,1T,1,0.0006878505154639,0.0293307993127147,0.0293367350515463,42.66704745588421,2.017520542621901e-05,5.815215530226537,0.13637538334204305,23.260873751340114,0.5455018061190071,65.0,1432.0,16000004.0,0.2499998750000312
INTEL,Intel CPU,CPU,CPU package RAPL,2,4000000,1T,1,0.0006711426657736,0.0340574279973208,0.0340652726054922,50.74499887130041,2.285739301551432e-05,5.959983180907381,0.11744865173948746,23.839944643598866,0.46979484185531206,92.0,1362.0,16000004.0,0.2499998750000312
INTEL,Intel CPU,CPU,CPU package RAPL,3,4000000,1T,1,0.0006824826530612,0.0346551537414965,0.0346578023809523,50.76754591162816,2.3651541267740302e-05,5.860953362050228,0.1154229189065854,23.443825170110568,0.4616919064722372,93.0,1363.0,16000004.0,0.2499998750000312
INTEL,Intel CPU,CPU,CPU package RAPL,4,4000000,1T,1,0.0006662907518296,0.0349568320026613,0.0349602628077179,52.5082830204127,2.3291413876634222e-05,6.00338364147515,0.11442681647168358,24.013546572670887,0.45770749474042444,96.0,1363.5,16000004.0,0.2499998750000312
INTEL,Intel CPU,CPU,CPU package RAPL,5,4000000,1T,1,0.0006648965517241,0.0348946163793103,0.0348987509946949,52.46846335097304,2.320131010433872e-05,6.015971942744872,0.11463083463991532,24.06389980292638,0.45852356782138787,96.0,1421.0,16000004.0,0.2499998750000312
INTEL,Intel CPU,CPU,CPU package RAPL,1,4000000,2T,2,0.0003815830792682,0.0241616955030487,0.0242137818216463,63.28781164924111,9.219694170393943e-06,10.482642489470964,0.16555125444302052,41.93059092317408,0.6622053488746737,84.0,1647.5,16000004.0,0.2499998750000312
INTEL,Intel CPU,CPU,CPU package RAPL,2,4000000,2T,2,0.0003774283829626,0.0255504174519412,0.0256029004900113,67.60843505500755,9.643452742905561e-06,10.59803443663209,0.15655317599110694,42.39215894260254,0.6262130170708579,92.0,1675.5,16000004.0,0.2499998750000312
INTEL,Intel CPU,CPU,CPU package RAPL,3,4000000,2T,2,0.000378557583741,0.0257200961610839,0.0257759523899134,67.98557430586719,9.736537456326092e-06,10.566421521584688,0.15552037499969562,42.26570721918708,0.6220818110396102,93.0,1644.0,16000004.0,0.2499998750000312
INTEL,Intel CPU,CPU,CPU package RAPL,4,4000000,2T,2,0.0003733061148396,0.0261450316927665,0.026185726137211,69.9905706377105,9.760100203584874e-06,10.715064235469853,0.152992700372464,42.86027837201325,0.6119711074753332,96.0,1520.0,16000004.0,0.2499998750000312
INTEL,Intel CPU,CPU,CPU package RAPL,5,4000000,2T,2,0.0003713856560415,0.0259434267976278,0.0260038300593031,69.89051165416213,9.635016581201632e-06,10.770472512683758,0.1541815979516534,43.08191159168544,0.6167267001698866,96.0,1658.5,16000004.0,0.2499998750000312
INTEL,Intel CPU,CPU,CPU package RAPL,1,4000000,4T,4,0.0001897901878914,0.0162097908521541,0.0162961012526096,85.3941921761565,3.0764592515106234e-06,21.075899889454995,0.24676438064396403,84.3036417096303,0.9870580161047408,77.5,1900.0,16000004.0,0.2499998750000312
INTEL,Intel CPU,CPU,CPU package RAPL,2,4000000,4T,4,0.000190024697199,0.0170983361090083,0.0171859521196063,89.98508633722065,3.2491061417210305e-06,21.049890140390918,0.23394083345294578,84.19960266135448,0.935763801693567,86.0,1900.0,16000004.0,0.2499998750000312
INTEL,Intel CPU,CPU,CPU package RAPL,3,4000000,4T,4,0.0001879632656895,0.0174609873167981,0.01755076052236,92.88846258157358,3.282024198228311e-06,21.280748583117685,0.22908206319764385,85.12303689397855,0.9163287109548164,91.0,1924.0,16000004.0,0.2499998750000312
INTEL,Intel CPU,CPU,CPU package RAPL,4,4000000,4T,4,0.0001881552789217,0.0179414279296143,0.0180366337514039,95.30670847366858,3.3757743763501572e-06,21.2590314920932,0.22294763915627702,85.03616848644641,0.8917910025204979,93.5,1778.5,16000004.0,0.2499998750000312
INTEL,Intel CPU,CPU,CPU package RAPL,5,4000000,4T,4,0.0001850642725598,0.0177254520257826,0.0178107662983425,95.84313140533038,3.2803478849450904e-06,21.614107059521583,0.2256641463462704,86.45647146631127,0.9026570367134872,94.0,1923.0,16000004.0,0.2499998750000312
INTEL,Intel CPU,CPU,CPU package RAPL,1,4000000,8T,8,0.0001167022674418,0.0157904997674418,0.0157940694767441,135.22240182405622,1.8427871268996738e-06,34.27524663987201,0.2533168081384947,137.10105510999847,1.0132677391877218,86.0,2459.5,16000004.0,0.2499998750000312
INTEL,Intel CPU,CPU,CPU package RAPL,2,4000000,8T,8,0.0001164012374233,0.0161311298138082,0.0161349534520643,138.56310785954815,1.8776834713631613e-06,34.363887262244184,0.24796769018472672,137.45561777676843,0.9918712566744113,90.0,2459.0,16000004.0,0.2499998750000312
INTEL,Intel CPU,CPU,CPU package RAPL,3,4000000,8T,8,0.0001180707124321,0.0165989606628921,0.0166018661240858,140.31848110967798,1.9598511111000734e-06,33.87799495408581,0.24097888302984052,135.51204757235007,0.9639160140772487,92.0,2459.0,16000004.0,0.2499998750000312
INTEL,Intel CPU,CPU,CPU package RAPL,4,4000000,8T,8,0.0001128040548129,0.0166296586543861,0.0166311743794226,147.50104936201447,1.8758929263691864e-06,35.45970937511521,0.24053404120504865,141.8389084198973,0.9621366458883973,96.0,2320.0,16000004.0,0.2499998750000312
INTEL,Intel CPU,CPU,CPU package RAPL,5,4000000,8T,8,0.0001167009400023,0.0167530981780201,0.0167540170593013,143.57747429349575,1.955102305325765e-06,34.27563651090699,0.23876174767768982,137.10261459491812,0.955047468234374,95.0,2460.0,16000004.0,0.2499998750000312
INTEL,Intel CPU,CPU,CPU package RAPL,1,4000000,10T,10,0.0001079876077586,0.0159060761314655,0.0159061865840517,147.28744816852554,1.7176591102631261e-06,37.041278004248085,0.2514761633818146,148.16518609956685,1.005905156479711,79.0,2740.0,16000004.0,0.2499998750000312
INTEL,Intel CPU,CPU,CPU package RAPL,2,4000000,10T,10,0.000109699770316,0.0177628872908235,0.0177629182434649,161.7613544592285,1.9485846559523333e-06,36.46314835917746,0.2251885594109716,145.8526663630248,0.9007546880211178,95.0,2739.0,16000004.0,0.2499998750000312
INTEL,Intel CPU,CPU,CPU package RAPL,3,4000000,10T,10,0.0001060322563615,0.01763925029036,0.0176395095554851,166.35222038017093,1.8703295088121147e-06,37.72435990009157,0.22676695064449728,150.89751504910495,0.9070682561120038,98.5,2739.0,16000004.0,0.2499998750000312
INTEL,Intel CPU,CPU,CPU package RAPL,4,4000000,10T,10,0.0001102948167712,0.0181278886321118,0.0181280014306151,164.21567573409732,1.9994121551274903e-06,36.26642771706815,0.22065443368371038,145.06578340114615,0.8826181760438192,97.0,2739.0,16000004.0,0.2499998750000312
INTEL,Intel CPU,CPU,CPU package RAPL,5,4000000,10T,10,0.0001117615967885,0.0184009465878679,0.018400990912132,164.5891635306892,2.056519173080017e-06,35.79046036331856,0.21738006688401978,143.16191303421286,0.8695207022963216,98.0,2739.5,16000004.0,0.2499998750000312
