platform,platform_label,device_kind,energy_domain,session_number,problem_size,configuration,num_threads,runtime_s,energy_j,power_w,throughput_gflops,efficiency_gflop_per_j,edp_j_s,temperature_c,clock_mhz,reported_throughput_gflops,throughput_normalization_delta_pct,policy,optimized_metric,selection_status,leader_configurations
AMD,AMD CPU,CPU,CPU package RAPL,5,2048,64T,64,0.0084559873949579,2.034774886554622,240.48459505825045,2031.6810304428718,8.443130145511956,0.0172098362740842,68.0,3648.0,2031.6810312860712,4.1502556946682034e-08,energy_opt,energy_j,clear_leader,64T
AMD,AMD CPU,CPU,CPU package RAPL,1,2048,64T,64,0.0084357058823529,1.9985477773109244,236.7445798640632,2036.5656915492368,8.596176373184218,0.0168591616146213,69.0,3624.5,2036.565735220547,2.1443604891757673e-06,runtime_opt,runtime_s,tie_or_uncertain,"32T,64T"
AMD,AMD CPU,CPU,CPU package RAPL,2,2048,64T,64,0.0083304173553719,1.998782991735537,239.40705085230888,2062.305938720045,8.59516478528906,0.0166475496378321,65.0,3650.0,2062.305988433909,2.4105959672837685e-06,runtime_opt,runtime_s,tie_or_uncertain,"32T,64T"
AMD,AMD CPU,CPU,CPU package RAPL,3,2048,64T,64,0.0081551048387096,1.9723544717741937,241.89555834955743,2106.6398928990848,8.71033550503028,0.0160820759308007,64.0,3647.0,2106.6398929011248,9.683365220780615e-11,runtime_opt,runtime_s,tie_or_uncertain,"32T,64T"
AMD,AMD CPU,CPU,CPU package RAPL,4,2048,64T,64,0.0082813305785123,1.999129326446281,241.25185126406083,2074.5300554209102,8.593675735095893,0.0165557735243469,66.5,3648.5,2074.5300555221243,4.878897286175743e-09,runtime_opt,runtime_s,tie_or_uncertain,"32T,64T"
AMD,AMD CPU,CPU,CPU package RAPL,5,2048,64T,64,0.0084559873949579,2.034774886554622,240.48459505825045,2031.6810304428718,8.443130145511956,0.0172098362740842,68.0,3648.0,2031.6810312860712,4.1502556946682034e-08,runtime_opt,runtime_s,tie_or_uncertain,"32T,64T"
AMD,AMD CPU,CPU,CPU package RAPL,1,2048,64T,64,0.0084357058823529,1.9985477773109244,236.7445798640632,2036.5656915492368,8.596176373184218,0.0168591616146213,69.0,3624.5,2036.565735220547,2.1443604891757673e-06,edp_opt,edp_j_s,clear_leader,64T
AMD,AMD CPU,CPU,CPU package RAPL,2,2048,64T,64,0.0083304173553719,1.998782991735537,239.40705085230888,2062.305938720045,8.59516478528906,0.0166475496378321,65.0,3650.0,2062.305988433909,2.4105959672837685e-06,edp_opt,edp_j_s,clear_leader,64T
AMD,AMD CPU,CPU,CPU package RAPL,3,2048,64T,64,0.0081551048387096,1.9723544717741937,241.89555834955743,2106.6398928990848,8.71033550503028,0.0160820759308007,64.0,3647.0,2106.6398929011248,9.683365220780615e-11,edp_opt,edp_j_s,clear_leader,64T
AMD,AMD CPU,CPU,CPU package RAPL,4,2048,64T,64,0.0082813305785123,1.999129326446281,241.25185126406083,2074.5300554209102,8.593675735095893,0.0165557735243469,66.5,3648.5,2074.5300555221243,4.878897286175743e-09,edp_opt,edp_j_s,clear_leader,64T
AMD,AMD CPU,CPU,CPU package RAPL,5,2048,64T,64,0.0084559873949579,2.034774886554622,240.48459505825045,2031.6810304428718,8.443130145511956,0.0172098362740842,68.0,3648.0,2031.6810312860712,4.1502556946682034e-08,edp_opt,edp_j_s,clear_leader,64T
AMD,AMD CPU,CPU,CPU package RAPL,1,2048,64T,64,0.0084357058823529,1.9985477773109244,236.7445798640632,2036.5656915492368,8.596176373184218,0.0168591616146213,69.0,3624.5,2036.565735220547,2.1443604891757673e-06,throughput_opt,throughput_gflops,tie_or_uncertain,"32T,64T"
AMD,AMD CPU,CPU,CPU package RAPL,2,2048,64T,64,0.0083304173553719,1.998782991735537,239.40705085230888,2062.305938720045,8.59516478528906,0.0166475496378321,65.0,3650.0,2062.305988433909,2.4105959672837685e-06,throughput_opt,throughput_gflops,tie_or_uncertain,"32T,64T"
